source	target	source_id
㑇	㑳	6602
㘎	㘚	7936
㤘	㥮	4031
㧐	㩳	3658
㧑	撝	6567
㧟	擓	3848
㭎	棡	6664
䁖	瞜	5693
䃅	磾	7508
䅟	穇	7540
䌹	絅	6750
䏝	膞	3978
䓖	藭	6955
䓨	罃	7132
䗖	螮	7772
䜣	訢	6549
䝙	貙	7209
䥽	鏺	4546
䦃	鐯	6111
䲟	鮣	7560
䲠	鰆	7960
䲢	鰧	8014
䴓	鳾	6806
䴔	鵁	7224
䴕	鴷	7152
䴖	鶄	7465
䴗	鶪	7668
䴘	鷉	7795
䴙	鸊	8029
䶮	龑	6814
万	萬	35
与	與	34
丑	醜	177
专	專	83
业	業	231
丛	叢	281
东	東	225
丝	絲	347
两	兩	697
严	嚴	671
丧	喪	1034
个	個	45
丰	豐	74
临	臨	1471
为	爲	165
丽	麗	699
举	舉	1693
么	麽	48
义	義	57
乌	烏	157
乐	樂	287
乔	喬	452
习	習	70
乡	鄉	73
书	書	188
买	買	588
乱	亂	762
了	瞭	17
亏	虧	25
云	雲	82
亚	亞	373
产	産	522
亩	畝	829
亲	親	1631
亵	褻	5250
亸	嚲	7891
亿	億	44
仅	僅	136
仆	僕	131
从	從	142
仑	侖	143
仓	倉	149
仪	儀	274
们	們	273
价	價	469
众	衆	491
优	優	461
伙	夥	475
会	會	486
伛	傴	3603
伞	傘	493
伟	偉	454
传	傳	455
伣	俔	6538
伤	傷	468
伥	倀	3607
伦	倫	470
伧	傖	3608
伪	僞	476
体	體	770
余	餘	795
佣	傭	780
佥	僉	3738
侠	俠	1141
侥	僥	1142
侦	偵	1145
侧	側	1147
侨	僑	1149
侩	儈	3960
侪	儕	3963
侬	儂	3966
俦	儔	4256
俨	儼	4257
俩	倆	1557
俪	儷	4259
俫	倈	6854
俭	儉	1567
借	藉	1955
债	債	1954
倾	傾	1959
偻	僂	4910
偾	僨	4904
偿	償	2327
傥	儻	5212
傧	儐	5213
储	儲	2697
傩	儺	5215
儿	兒	12
克	剋	675
党	黨	1885
兰	蘭	306
关	關	532
兴	興	544
养	養	1641
兽	獸	2407
冁	囅	8023
冈	岡	115
写	寫	316
军	軍	552
农	農	558
冬	鼕	295
冯	馮	303
冲	衝	511
冻	凍	827
准	準	2024
几	幾	14
凤	鳳	159
凫	鳬	3620
凭	憑	1148
凯	凱	1112
出	齣	330
击	擊	195
凿	鑿	2605
刍	芻	3550
划	劃	407
刘	劉	517
则	則	440
刚	剛	441
创	創	494
别	彆	751
刬	剗	6559
刭	剄	3818
刮	颳	1129
制	製	1121
刽	劊	3971
刿	劌	3930
剀	剴	3933
剂	劑	1216
剐	剮	4216
剑	劍	1587
剧	劇	2132
劝	勸	186
办	辦	181
务	務	297
劢	勱	3537
动	動	353
励	勵	702
劲	勁	926
劳	勞	674
势	勢	977
勋	勛	1506
勚	勩	7125
匦	匭	3835
匮	匱	4782
区	區	94
医	醫	700
千	韆	41
华	華	472
协	協	383
单	單	1232
卖	賣	1042
卜	蔔	8
卢	盧	230
卤	鹵	711
卤	滷	711
卫	衛	65
卷	捲	1231
厂	廠	6
厅	廳	90
历	歷	95
历	曆	95
厉	厲	215
压	壓	385
厌	厭	386
厍	厙	3586
厕	厠	1047
厣	厴	7144
县	縣	720
参	參	1334
叆	靉	5629
叇	靆	7751
双	雙	187
发	發	339
发	髮	339
变	變	1204
只	衹	246
只	隻	246
台	臺	342
台	颱	342
台	檯	342
叶	葉	238
号	號	243
叹	嘆	257
叽	嘰	251
吁	籲	420
合	閤	488
后	後	482
向	嚮	480
吓	嚇	422
吗	嗎	432
吨	噸	730
听	聽	739
启	啓	886
呒	嘸	3699
呓	囈	3700
呕	嘔	725
呖	嚦	3702
呗	唄	3708
员	員	737
呙	咼	6591
呛	嗆	742
呜	嗚	745
咙	嚨	1089
咛	嚀	3918
咝	噝	3922
咸	鹹	1443
响	響	1509
哑	啞	1484
哒	噠	6827
哓	嘵	4203
哔	嗶	4204
哕	噦	4215
哗	嘩	1507
哙	噲	4222
哝	噥	4227
哟	喲	1516
唛	嘜	4494
唝	嗊	6985
唠	嘮	1891
唢	嗩	4514
啧	嘖	4811
啬	嗇	4780
啭	囀	4826
啮	嚙	4829
啰	囉	2286
啴	嘽	7168
啸	嘯	2291
喷	噴	2618
喽	嘍	5158
喾	嚳	5301
嗫	囁	5442
嗳	噯	5470
嘤	嚶	5719
嘱	囑	3253
噜	嚕	5935
嚣	囂	3443
回	迴	438
团	團	425
团	糰	425
园	園	726
困	睏	734
围	圍	728
囵	圇	3719
国	國	1081
图	圖	1119
圆	圓	1922
圣	聖	340
圹	壙	3574
场	場	367
坏	壞	616
块	塊	652
坚	堅	712
坛	壇	614
坛	罎	614
坜	壢	6561
坝	垻	629
坝	壩	629
坞	塢	3655
坟	墳	644
坠	墜	917
垄	壟	1055
垆	壚	3841
垒	壘	1751
垦	墾	1719
垩	堊	4129
垫	墊	1390
垭	埡	4094
垯	墶	6768
垱	壋	4101
垲	塏	6770
埘	塒	4415
埙	塤	4416
埚	堝	4417
堑	塹	4808
堕	墮	2475
塆	壪	5074
墙	墻	3054
壮	壯	510
声	聲	654
壳	殻	650
壶	壺	1812
壸	壼	7117
处	處	294
备	備	1200
复	復	1553
复	複	1553
头	頭	310
夸	誇	395
夹	夾	402
夺	奪	396
奁	奩	3687
奋	奮	1051
奖	奬	1618
妆	妝	512
妇	婦	579
妈	媽	583
妩	嫵	3807
妪	嫗	3808
妫	嬀	3812
姜	薑	1643
娄	婁	1649
娅	婭	4382
娆	嬈	4384
娇	嬌	1739
娈	孌	4304
娲	媧	4691
娴	嫻	4693
婳	嫿	7266
婴	嬰	2301
婵	嬋	5021
婶	嬸	2482
媭	嬃	5218
嫒	嬡	5607
嫔	嬪	5608
嫱	嬙	5831
孙	孫	570
学	學	1273
孪	孿	4303
宁	寧	312
宝	寶	1274
实	實	1285
宠	寵	1277
审	審	1279
宪	憲	1699
家	傢	2099
宽	寬	2098
宾	賓	2102
寝	寢	3029
对	對	341
寻	尋	563
导	導	567
寿	壽	599
将	將	1617
尔	爾	286
尘	塵	414
尝	嘗	1476
尧	堯	406
尴	尷	2883
尽	盡	566
尽	儘	566
层	層	902
屃	屓	6629
属	屬	2800
屡	屢	2801
屦	屨	6016
屿	嶼	434
岁	歲	436
岂	豈	439
岖	嶇	753
岗	崗	754
岘	峴	3715
岚	嵐	3717
岛	島	820
岭	嶺	1111
岽	崬	6682
岿	巋	3924
峃	嶨	6726
峄	嶧	3935
峡	峽	1518
峣	嶢	4231
峤	嶠	4235
峦	巒	1615
崂	嶗	4520
崃	崍	4521
崄	嶮	7000
崭	嶄	2294
嵘	嶸	5163
嵚	嶔	7365
嵝	嶁	5173
巅	巔	3461
巩	鞏	361
巯	巰	5323
币	幣	134
帅	帥	233
师	師	413
帏	幃	3712
帐	帳	755
帘	簾	1283
帜	幟	1109
带	帶	1407
帧	幀	4233
帮	幫	1356
帱	幬	6996
帻	幘	4855
帼	幗	4858
干	乾	23
干	幹	23
广	廣	53
庄	莊	514
庆	慶	515
庐	廬	839
庑	廡	3756
库	庫	832
应	應	836
庙	廟	1210
庞	龐	1207
废	廢	1220
庼	廎	7221
开	開	76
张	張	909
弥	彌	1313
弥	瀰	1313
弯	彎	1616
弹	彈	2473
归	歸	234
当	當	418
当	噹	418
录	録	1304
彟	彠	8049
彻	徹	792
征	徵	1159
径	徑	1163
徕	徠	4584
御	禦	2704
忆	憶	167
忏	懺	3630
忧	憂	874
忾	愾	3787
怀	懷	873
态	態	1052
怂	慫	3973
怃	憮	3783
怄	慪	3784
怅	悵	3788
怆	愴	3791
怜	憐	1270
总	總	1654
怼	懟	4389
怿	懌	4034
恋	戀	2016
恳	懇	2130
恶	惡	1829
恶	噁	1829
恸	慟	4349
恹	懨	4351
恺	愷	4353
恻	惻	4354
恼	惱	1691
恽	惲	4357
悫	慤	4740
悬	懸	2264
悭	慳	4660
悯	憫	2095
惊	驚	2445
惧	懼	2442
惨	慘	2449
惩	懲	2703
惫	憊	2722
惬	愜	4983
惭	慚	2440
惮	憚	4992
惯	慣	2450
愤	憤	2770
愦	憒	5296
愿	願	3094
慑	懾	5589
慭	憖	7765
懑	懣	6292
懒	懶	3380
戆	戇	6498
戋	戔	6509
戏	戲	584
戗	戧	3976
战	戰	1468
才	纔	29
扑	撲	199
执	執	363
扩	擴	364
扪	捫	3575
扫	掃	365
扬	揚	368
扰	擾	618
折	摺	632
抚	撫	613
抟	摶	3650
