梧州扶典,*,ɔᵃ,n|t,*,oa,*
梧州扶典,*,ɵa,,*,eoa,*
梧州扶典,*,ie,,*,ie,*
梧州扶典,*,ɐo,,*,au,*
梧州扶典,*,o,ŋ|k,*,u,*
梧州扶典,*,ø,,*,eo,*
靈山太平,*,e,ŋ|k,*,i,*
東莞塘角,*,ɪ,n|ʔ,*,i,*
東莞塘角,*,ɔi,,*,oi,*
東莞塘角,*,oi,,*,ooi,*
東莞塘角,*,ɔ,n|ʔ,*,o,*
東莞塘角,*,o,n|ʔ,*,oo,*
東莞塘角,*,ɤ,n|ʔ,*,eo,*
東莞莞城,*,o,ŋ|k,*,u,*
封川,*,e,ŋ|k,*,i,*
封川,*,o,ŋ|k,*,u,*
封川,*,iɛ,*,*,e,*
陽春合水,*,iɛ,*,*,e,*
陽春合水,*,uɔ,*,*,o,*
陽春松柏,*,iɛ,*,*,e,*
陽春松柏,*,uɔ,*,*,o,*
宜章一六,*,əu,*,*,au,*
宜章一六,*,ɐø,*,*,ay,*
宜章一六,*,uɪ,*,*,ui,*
宜章一六,*,o,ŋ,*,u,*
宜章一六,*,ɪ,ŋ,*,i,*
宜章一六,*,i,ŋ,*,ii,*
宜章一六,*,ɯœ,,*,oe,*
宜章一六,*,uei,,*,uei,*
宜章一六,ɕ,*,*,sj,*,*,!
宜章一六,ʨ,*,*,zj,*,*,!
宜章一六,ʨʰ,*,*,cj,*,*,!
w,ɓw,*,*,bbu,*,*
w,pʰw,*,*,pu,*,*
w,mw,*,*,mu,*,*
w,fw,*,*,fu,*,*
w,kʰw,*,*,ku,*,*
w,ŋw,*,*,ngu,*,*
w,sw,*,*,su,*,*
w,ɗw,*,*,ddu,*,*
w,tʰw,*,*,tu,*,*
w,nw,*,*,nu,*,*
w,lw,*,*,lu,*,*
w,ʦw,*,*,zu,*,*
w,ȵw,*,*,nju,*,*
w,ɬw,*,*,ɬu,*,*
kw,kw,*,*,gu,*,*
kw,kʰw,*,*,ku,*,*
0,ʃ,*,*,s,*,*
0,ʧ,*,*,z,*,*
0,ʧʰ,*,*,c,*,*
0,ɕ,*,*,s,*,*
0,ʨ,*,*,z,*,*
0,ʨʰ,*,*,c,*,*
0,ʔ,*,*,,*,*
0,*,o,m|p,*,o,*
0,*,ou,,*,ou,*
0,*,ei,,*,ei,*
0,*,ɪ,ŋ|k,*,i,*
0,*,ʊ,ŋ|k,*,u,*
0,*,ɿ,,*,ii,*
0,*,y,*,*,yu,*
0,*,ɵy,,*,eoi,*
0,*,øy,,*,eoi,*
0,*,yɔ,*,*,yo,*
0,*,m̩,,*,m,*
0,*,n̩,,*,n,*
0,*,ŋ̍,,*,ng,*
