台山斗山墟,lh,*,*,sl,*,*
台山斗山墟,*,ie,*,*,e,*
台山斗山墟,*,uo,*,*,o,*
台山斗山墟,*,uoi,,*,oi,
廣州黃村,*,eoy,*,*,eoi,*
新會天湖,*,eu,,*,eau,
新會天湖,*,e,n|t|m|p,*,ea,*
新會天湖,*,e,ng,*,ea,*
新會羅坑,*,eu,,*,eau,
新會羅坑,*,e,n|t|m|p,*,ea,*
新會羅坑,*,e,ng,*,ea,*
橫州,*,uu,,*,ii,*
遂溪遂城,*,ie,k|ng,*,e,*
鬱林,*,eau,,*,iau,*
鬱林,*,ea,m|n|ng|p|t|k,*,ia,*
博白水鳴,*,aeu,,*,aau,*
博白水鳴,*,ae,m|p|ng|k,*,aa,*
博白水鳴,zh,*,*,zj,*,*
博白水鳴,sh,*,*,sj,*,*
梧州戎墟,zh,*,*,zj,*,*
梧州戎墟,ch,*,*,cj,*,*
梧州戎墟,sh,*,*,sj,*,*
蒙山,*,oaa,*,*,o,*
蒙山陳塘,zh,*,*,z,*,*
蒙山陳塘,ch,*,*,c,*,*
蒙山陳塘,sh,*,*,s,*,*
蒙山陳塘,*,y,,*,yu,*
蒙山,*,y,,*,yu,*
蒙山,zh,*,*,z,*,*
蒙山,ch,*,*,c,*,*
蒙山,sh,*,*,s,*,*
蒼梧石橋,zh,*,*,z,*,*
蒼梧石橋,ch,*,*,c,*,*
蒼梧石橋,sh,*,*,s,*,*
0,0,*,*,,*,*
999,j|nj|sj|cj|zj,ia,*,*,a,*
999,j|nj|sj|cj|zj,ie,*,*,e,*
999,j|nj|sj|cj|zj,io,*,*,o,*
999,w|kw|gw,ua,*,*,a,*
999,w|kw|gw,ue,*,*,e,*
999,w|kw|gw,uo,*,*,o,*
